model,n,p,seed,nr_cliques,max_clique,time_cliques
dense_gnp,30,0.8,34,789,13,0.669149
dense_gnp,30,0.8,3728,405,13,0.936431
dense_gnp,30,0.8,4029,1212,11,2.153346
dense_gnp,30,0.8,482,803,10,1.789544
dense_gnp,30,0.8,56,897,12,0.780825
dense_gnp,30,0.8,7821,642,12,0.602521
dense_gnp,30,0.8,917,419,12,1.314134
dense_gnp,30,0.8,91928,652,12,1.771105
dense_gnp,30,0.8,92839,760,11,1.921473
dense_gnp,30,0.8,9291,545,14,1.600064
dense_gnp,30,0.8,934,1150,12,2.415181
dense_gnp,30,0.8,93728,615,13,1.719842
dense_gnp,30,0.8,94029,490,12,1.323143
dense_gnp,30,0.8,9482,691,12,1.642108
dense_gnp,30,0.8,956,712,12,1.847372
dense_gnp,30,0.8,97821,684,12,1.704267
superdense_gnp,30,0.933333,17,1022,18,0.740946
superdense_gnp,30,0.933333,1928,344,20,1.328311
superdense_gnp,30,0.933333,2839,1936,18,0.916877
superdense_gnp,30,0.933333,291,572,18,0.598749
superdense_gnp,30,0.933333,34,720,19,0.589111
superdense_gnp,30,0.933333,3728,436,19,0.546648
superdense_gnp,30,0.933333,4029,444,18,0.573047
superdense_gnp,30,0.933333,482,691,17,1.929994
superdense_gnp,30,0.933333,56,496,19,1.694559
superdense_gnp,30,0.933333,7821,704,18,0.709867
superdense_gnp,30,0.933333,917,276,19,0.461022
superdense_gnp,30,0.933333,91928,540,19,1.570311
superdense_gnp,30,0.933333,92839,1042,16,2.181911
superdense_gnp,30,0.933333,9291,444,19,0.507816
superdense_gnp,30,0.933333,934,144,21,0.364083
superdense_gnp,30,0.933333,93728,290,19,1.273416
superdense_gnp,30,0.933333,94029,372,19,1.359042
superdense_gnp,30,0.933333,9482,688,17,1.733041
superdense_gnp,30,0.933333,956,400,19,0.497968
superdense_gnp,30,0.933333,97821,808,18,1.835917
superdense_gnp,30,0.966667,17,48,24,0.799334
superdense_gnp,30,0.966667,1928,48,23,0.851994
superdense_gnp,30,0.966667,2839,64,24,0.837188
superdense_gnp,30,0.966667,291,216,21,1.077931
superdense_gnp,30,0.966667,34,32,25,0.787810
superdense_gnp,30,0.966667,3728,192,22,1.059841
superdense_gnp,30,0.966667,4029,160,22,1.015144
superdense_gnp,30,0.966667,482,256,21,1.078489
superdense_gnp,30,0.966667,56,96,23,0.902908
superdense_gnp,30,0.966667,7821,96,23,0.762667
superdense_gnp,30,0.966667,917,96,23,1.026038
superdense_gnp,30,0.966667,91928,64,24,0.308489
superdense_gnp,30,0.966667,92839,672,20,0.505791
superdense_gnp,30,0.966667,9291,128,23,0.937200
superdense_gnp,30,0.966667,934,28,25,0.731168
superdense_gnp,30,0.966667,93728,144,22,0.343061
superdense_gnp,30,0.966667,94029,208,21,0.392647
superdense_gnp,30,0.966667,9482,552,19,1.267968
superdense_gnp,30,0.966667,956,200,21,1.095949
superdense_gnp,30,0.966667,97821,72,23,0.879093
dense_gnp,30,0.9,17,732,17,1.614730
dense_gnp,30,0.9,1928,334,18,0.486585
dense_gnp,30,0.9,2839,946,17,0.788228
dense_gnp,30,0.9,291,557,16,0.597352
dense_gnp,30,0.9,34,980,17,0.881676
dense_gnp,30,0.9,3728,706,16,0.737804
dense_gnp,30,0.9,4029,491,18,0.593232
dense_gnp,30,0.9,482,835,15,0.714896
dense_gnp,30,0.9,56,709,16,2.091886
